material,formula,n_atoms,energy_eV,energy_per_atom_eV,K_GPa,G_GPa,E_GPa,poisson_ratio,KG_ratio,ductile_brittle,time_seconds
mp-768628,Li10 Mn4 P6 O24,44,-299.2822,-6.8019,117.59,68.85,172.81,0.2551,1.71,Brittle,6.97
mp-768651,Li10 Mn4 P6 O24,44,-299.1728,-6.7994,138.05,77.18,195.16,0.2644,1.79,Ductile,2.01
mp-768686,Li8 Cr6 Ga2 O16,32,-210.8404,-6.5888,153.31,74.63,192.63,0.2906,2.05,Ductile,0.64
mp-768690,Li8 Cr6 Ga2 O16,32,-210.8445,-6.5889,158.25,74.99,194.29,0.2954,2.11,Ductile,0.54
mp-768694,Li8 Al2 Cr6 O16,32,-218.0554,-6.8142,162.32,83.78,214.45,0.2798,1.94,Ductile,0.53
mp-768715,Li6 Bi2 B8 O18,34,-236.3297,-6.9509,129.97,68.98,175.83,0.2745,1.88,Ductile,1.47
mp-768728,Li8 Cr6 Ga2 O16,32,-210.8189,-6.5881,157.4,74.89,193.92,0.2947,2.1,Ductile,1.01
mp-768742,Li4 Mn4 S6 O24,38,-245.3021,-6.4553,120.02,72.04,180.09,0.2499,1.67,Brittle,1.07
mp-768763,Li8 Al2 Cr6 O16,32,-218.0275,-6.8134,161.33,83.37,213.36,0.2796,1.93,Ductile,0.73
mp-768765,Li8 Bi8 B8 O28,52,-336.8314,-6.4775,111.06,53.5,138.3,0.2925,2.08,Ductile,2.35
mp-768771,Li12 Bi4 B8 O24,48,-310.3738,-6.4661,90.76,45.61,117.21,0.2848,1.99,Ductile,1.07
mp-768774,Li2 Bi8 B6 O22,38,-251.0167,-6.6057,99.4,47.89,123.78,0.2924,2.08,Ductile,2.04
mp-768776,Li8 Bi8 B16 O40,72,-498.4569,-6.923,160.76,80.86,207.75,0.2846,1.99,Ductile,2.38
mp-768788,Li12 Bi4 B8 O24,48,-309.4817,-6.4475,106.25,53.93,138.38,0.2829,1.97,Ductile,5.09
mp-768789,Li4 Bi4 B8 O20,36,-249.569,-6.9325,88.86,48.31,122.69,0.2699,1.84,Ductile,0.98
mp-768794,Li4 Bi4 B8 O20,36,-248.4989,-6.9027,76.61,35.5,92.26,0.2993,2.16,Ductile,0.99
mp-768795,Li8 Bi8 B16 O40,72,-499.8979,-6.943,116.66,62.57,159.24,0.2725,1.86,Ductile,1.94
mp-768797,Li6 Bi2 B4 O12,24,-154.6198,-6.4425,76.58,42.09,106.71,0.2678,1.82,Ductile,1.38
mp-768798,Li12 Bi8 B12 O36,68,-449.45,-6.6096,104.17,56.09,142.66,0.2718,1.86,Ductile,2.36
mp-768809,Li12 Bi4 B8 O24,48,-309.8468,-6.4551,94.39,52.7,133.29,0.2646,1.79,Ductile,3.48
mp-768820,Li12 Bi4 B8 O24,48,-311.4646,-6.4888,90.78,51.76,130.48,0.2604,1.75,Ductile,0.93
mp-768821,Li6 Bi6 B6 O21,39,-252.7146,-6.4799,92.2,46.85,120.2,0.2827,1.97,Ductile,1.96
mp-768851,Li8 Al2 Cr6 O16,32,-218.0581,-6.8143,168.34,84.23,216.57,0.2856,2.0,Ductile,0.59
mp-768872,Li8 Cr6 Ga2 O16,32,-210.8222,-6.5882,158.01,75.37,195.08,0.2942,2.1,Ductile,0.82
mp-768875,Li12 B8 O18,38,-252.7319,-6.6508,94.13,61.26,151.01,0.2326,1.54,Brittle,2.09
mp-768884,Li8 B4 O10,22,-141.5176,-6.4326,111.69,69.65,173.0,0.2418,1.6,Brittle,1.09
mp-768890,Li8 B4 O10,22,-141.0136,-6.4097,121.45,72.69,181.81,0.2505,1.67,Brittle,1.52
mp-768896,Li8 Ni8 S12 O48,76,-438.9754,-5.776,130.65,79.66,198.62,0.2466,1.64,Brittle,1.52
mp-768921,Li32 B8 O28,68,-396.9422,-5.8374,124.21,82.15,201.92,0.2291,1.51,Brittle,1.89
mp-768947,Li10 Zn3 Ge4 O16,33,-183.1838,-5.551,108.94,62.0,156.34,0.2608,1.76,Ductile,0.98
mp-768960,Li40 B8 O32,80,-454.4991,-5.6812,109.19,74.91,182.91,0.2208,1.46,Brittle,1.79
mp-768966,Li40 B8 O32,80,-451.9056,-5.6488,109.31,73.5,180.14,0.2254,1.49,Brittle,2.18
mp-768967,Li40 B8 O32,80,-453.8104,-5.6726,105.22,74.1,180.04,0.2148,1.42,Brittle,1.88
mp-769001,Li12 Sn4 B8 S2 O32,58,-378.984,-6.5342,131.66,76.25,191.73,0.2573,1.73,Brittle,1.27
mp-769153,Li8 Sb4 S4 O16 F12,44,-239.8043,-5.4501,102.13,52.45,134.35,0.2808,1.95,Ductile,5.65
mp-769316,Li10 Nb6 O2 F36,54,-316.644,-5.8638,106.76,46.9,122.74,0.3084,2.28,Ductile,2.26
mp-769319,Li4 Nb4 O8 F8,24,-169.7574,-7.0732,145.24,54.55,145.44,0.3331,2.66,Ductile,1.18
mp-769384,Li12 Nb4 O4 F24,44,-255.8202,-5.8141,107.73,49.64,129.09,0.3003,2.17,Ductile,2.03
mp-769511,Na4 Li4 V8 O24,40,-269.4974,-6.7374,116.61,40.66,109.27,0.3438,2.87,Ductile,2.3
mp-769539,Li14 V2 Ge2 O16,34,-199.1076,-5.8561,101.77,50.75,130.56,0.2862,2.01,Ductile,1.04
mp-769881,Li6 Cr2 F12,20,-106.3356,-5.3168,78.44,34.97,91.33,0.306,2.24,Ductile,1.08
mp-770191,Li8 V8 S12 O48,76,-491.5294,-6.4675,123.45,72.92,182.78,0.2532,1.69,Brittle,1.44
mp-770341,Li8 Al2 Cr6 O16,32,-217.9716,-6.8116,163.81,83.5,214.13,0.2821,1.96,Ductile,0.68
mp-770469,Li10 Ta2 O10,22,-143.3332,-6.5151,113.34,60.9,154.95,0.2721,1.86,Ductile,0.92
mp-770533,Li24 Mn4 O16,44,-232.6212,-5.2868,98.56,47.7,123.23,0.2916,2.07,Ductile,1.37
mp-770546,Li8 Mn8 P8 O28 F8,60,-409.9608,-6.8327,106.31,59.74,150.95,0.2633,1.78,Ductile,2.85
mp-770645,Li16 Hf2 O12,30,-175.2002,-5.84,92.93,52.51,132.57,0.2622,1.77,Ductile,1.18
mp-770647,Li4 Si2 Sn2 C2 O14,24,-161.8521,-6.7438,127.52,62.46,161.08,0.2895,2.04,Ductile,1.4
mp-770648,Li16 Zr2 O12,30,-171.0071,-5.7002,91.64,50.76,128.55,0.2662,1.81,Ductile,0.88
mp-770679,Li15 Cr3 P6 O24 F6,54,-344.0625,-6.3715,128.27,75.39,189.11,0.2543,1.7,Brittle,7.37
mp-770701,Li4 Si8 Ni2 O20,34,-238.4099,-7.0121,141.48,86.34,215.25,0.2464,1.64,Brittle,2.87
mp-770704,Li8 Al4 Fe4 O16,32,-202.7119,-6.3347,103.62,56.19,142.76,0.2704,1.84,Ductile,0.48
mp-770707,Li8 Al4 Fe4 O16,32,-202.8239,-6.3382,115.41,57.4,147.71,0.2867,2.01,Ductile,0.55
mp-770720,Li16 Zr4 O16,36,-229.1162,-6.3643,104.59,52.9,135.81,0.2836,1.98,Ductile,2.05
mp-770733,Li8 Al4 Fe4 O16,32,-202.7666,-6.3365,111.81,56.3,144.62,0.2844,1.99,Ductile,0.87
mp-770743,Li8 Hf8 O20,36,-301.2813,-8.3689,163.63,72.16,188.73,0.3078,2.27,Ductile,1.05
mp-770756,Li6 Si2 Sn2 B2 O14,26,-170.912,-6.5735,128.82,66.09,169.32,0.2809,1.95,Ductile,1.63
mp-770759,Li2 Bi2 C2 S2 O14,22,-140.0082,-6.364,95.31,50.16,128.02,0.2761,1.9,Ductile,4.6
mp-770761,Li8 Mn4 C4 S4 O28,48,-319.7256,-6.661,107.35,55.46,141.93,0.2796,1.94,Ductile,1.05
mp-770763,Li4 Mn4 P4 O16,28,-199.5271,-7.126,113.41,58.83,150.47,0.2789,1.93,Ductile,1.06
mp-770799,Li10 Nb2 O10,22,-137.4657,-6.2484,114.03,55.36,142.94,0.2911,2.06,Ductile,0.79
mp-770805,Li12 Hf4 O14,30,-211.1694,-7.039,147.3,75.91,194.35,0.2801,1.94,Ductile,0.92
mp-770835,Na3 Li3 Mn2 P2 C2 O14,26,-175.4292,-6.7473,117.02,58.49,150.41,0.2858,2.0,Ductile,1.01
mp-770839,Li4 Cr4 C8 O24,40,-295.5826,-7.3896,116.07,67.54,169.69,0.2563,1.72,Brittle,1.03
mp-770929,Na3 Li3 Mn2 P2 C2 O14,26,-175.6652,-6.7564,112.58,58.97,150.61,0.277,1.91,Ductile,0.7
mp-770967,Li8 Mn4 P8 O28,48,-335.0912,-6.9811,126.1,72.97,183.5,0.2575,1.73,Brittle,0.71
mp-770997,Li2 Hf1 O3,6,-45.5245,-7.5874,167.5,81.71,210.84,0.2902,2.05,Ductile,0.45
mp-771003,Na2 Li4 Mn2 P2 C2 O14,26,-176.579,-6.7915,111.58,58.68,149.79,0.2763,1.9,Ductile,0.53
mp-771006,Na6 Li6 Fe4 P4 C4 O28,52,-341.5989,-6.5692,112.08,59.04,150.66,0.276,1.9,Ductile,1.41
mp-771007,Na4 Li8 Fe4 P4 C4 O28,52,-343.0742,-6.5976,115.02,61.52,156.64,0.273,1.87,Ductile,1.32
mp-771011,Li4 Fe2 C2 S2 O14,24,-154.9461,-6.4561,114.77,59.47,152.14,0.2791,1.93,Ductile,1.42
mp-771015,Li12 Ni4 As4 C4 O28,52,-312.5971,-6.0115,108.13,55.91,143.08,0.2795,1.93,Ductile,1.26
mp-771021,Na6 Li6 Mn4 P4 C4 O28,52,-351.3261,-6.7563,113.51,59.21,151.32,0.2778,1.92,Ductile,1.18
mp-771022,Na6 Li6 Fe4 P4 C4 O28,52,-341.3812,-6.565,117.16,59.23,152.06,0.2837,1.98,Ductile,1.22
mp-771039,Na2 Li4 Mn2 P2 C2 O14,26,-176.3133,-6.7813,112.61,58.11,148.75,0.2798,1.94,Ductile,1.1
mp-771063,Li4 Fe3 Ni1 P4 O16,28,-187.0274,-6.6795,136.21,72.39,184.48,0.2743,1.88,Ductile,1.74
mp-771081,Li6 Ni2 B10 O20,38,-267.0136,-7.0267,146.04,76.03,194.37,0.2782,1.92,Ductile,3.45
mp-771145,Li8 Ni4 C4 S4 O28,48,-294.725,-6.1401,116.09,63.1,160.26,0.2699,1.84,Ductile,0.94
mp-771295,Li8 Mn8 B8 O24,48,-349.269,-7.2764,125.46,63.92,163.92,0.2822,1.96,Ductile,1.34
mp-771304,Li6 Si2 Sb2 C2 O14,26,-169.1357,-6.5052,109.95,53.09,137.19,0.2921,2.07,Ductile,2.2
mp-771340,Li12 Mn4 P4 C4 O28,52,-356.0716,-6.8475,114.53,62.86,159.41,0.268,1.82,Ductile,0.56
mp-771341,Li6 Be2 P2 C2 O14,26,-173.9034,-6.6886,134.11,83.86,208.18,0.2413,1.6,Brittle,2.5
mp-771344,Li12 Fe4 P4 C4 O28,52,-346.4766,-6.663,120.18,64.62,164.4,0.272,1.86,Ductile,0.98
mp-771345,Li12 Ni4 P4 C4 O28,52,-330.921,-6.3639,125.0,66.51,169.46,0.274,1.88,Ductile,1.54
mp-771387,Li12 Mn4 C8 S2 O32,58,-394.5351,-6.8023,120.45,67.14,169.85,0.265,1.79,Ductile,1.94
mp-771782,Li2 Ni1 P4 O12,19,-127.0331,-6.686,143.52,80.19,202.79,0.2645,1.79,Ductile,2.57
mp-771804,Li4 Sb2 As2 C2 O14,24,-150.0533,-6.2522,94.5,43.51,113.17,0.3004,2.17,Ductile,3.54
mp-771918,Li16 Mn8 P8 O32 F8,72,-477.1687,-6.6273,125.5,66.4,169.34,0.2751,1.89,Ductile,1.15
mp-771979,Li2 Si2 Sb2 C2 O14,22,-150.4551,-6.8389,115.04,62.97,159.76,0.2686,1.83,Ductile,2.46
mp-772029,Li4 Fe2 Si6 O16,28,-199.2143,-7.1148,124.44,71.58,180.18,0.2587,1.74,Brittle,1.05
mp-772049,Li8 Ti8 O20,36,-275.8916,-7.6637,114.76,46.97,123.99,0.3199,2.44,Ductile,0.72
mp-772069,Li2 Fe2 P2 O8,14,-94.6934,-6.7638,114.98,57.09,146.94,0.287,2.01,Ductile,1.7
mp-772090,Li8 Ti18 O40,66,-544.0426,-8.2431,155.39,61.28,162.47,0.3257,2.54,Ductile,1.15
mp-772093,Li4 Fe4 P4 O16,28,-188.9931,-6.7498,156.76,79.01,202.93,0.2842,1.98,Ductile,0.6
mp-772105,Li8 Zr8 O20,36,-285.2041,-7.9223,160.9,63.3,167.88,0.3261,2.54,Ductile,1.09
mp-772109,Li4 Si4 Bi4 O16,28,-182.8374,-6.5299,143.26,64.95,169.26,0.3031,2.21,Ductile,0.73
mp-772138,Li4 Fe4 P4 O16,28,-189.8091,-6.7789,95.13,48.28,123.88,0.283,1.97,Ductile,0.74
mp-772155,Li4 Bi2 As2 C2 O14,24,-149.6615,-6.2359,95.37,41.06,107.73,0.3117,2.32,Ductile,0.99
mp-772185,Li12 Hf4 O14,30,-211.2146,-7.0405,149.4,76.66,196.4,0.2809,1.95,Ductile,0.88
mp-772190,Li24 Ti8 O28,60,-393.2523,-6.5542,90.98,44.4,114.56,0.2901,2.05,Ductile,2.57
mp-772210,Li4 Fe4 P4 O16,28,-190.5643,-6.8059,122.71,59.64,153.96,0.2909,2.06,Ductile,0.7
mp-772234,Na4 Li8 Mn4 P4 C4 O28,52,-352.6468,-6.7817,119.73,60.9,156.22,0.2825,1.97,Ductile,3.92
mp-772236,Na6 Li6 Mn4 P4 C4 O28,52,-351.0818,-6.7516,115.45,59.36,152.02,0.2805,1.94,Ductile,2.51
mp-772242,Li4 V4 P4 O20,32,-227.4892,-7.109,120.59,59.75,153.84,0.2874,2.02,Ductile,2.58
mp-772260,Li20 Ti8 O26,54,-364.8608,-6.7567,99.59,46.93,121.68,0.2963,2.12,Ductile,4.38
mp-772267,Li4 Al2 Fe2 O8,16,-101.478,-6.3424,111.05,56.56,145.05,0.2823,1.96,Ductile,0.55
mp-772286,Li12 Fe12 P12 O48,84,-569.3464,-6.7779,130.3,63.65,164.21,0.29,2.05,Ductile,7.23
mp-772287,Li4 Si24 Ni10 O60,98,-691.6841,-7.058,136.9,80.67,202.29,0.2537,1.7,Brittle,2.6
mp-772294,Na10 Li2 Fe4 P4 C4 O28,52,-338.0762,-6.5015,121.26,61.18,157.11,0.2841,1.98,Ductile,3.66
mp-772307,Na2 Li10 Mn4 P4 C4 O28,52,-354.135,-6.8103,122.96,60.57,156.07,0.2885,2.03,Ductile,2.96
mp-772311,Na10 Li2 Mn4 P4 C4 O28,52,-347.8007,-6.6885,110.29,57.04,145.97,0.2794,1.93,Ductile,2.66
mp-772313,Na4 Li8 Mn4 P4 C4 O28,52,-352.4986,-6.7788,121.24,60.59,155.81,0.2858,2.0,Ductile,3.83
mp-772315,Na10 Li2 Mn4 P4 C4 O28,52,-347.8266,-6.689,112.4,58.47,149.49,0.2783,1.92,Ductile,2.5
mp-772397,Li10 W2 N2 O8,22,-129.0756,-5.8671,107.17,42.21,111.93,0.3259,2.54,Ductile,0.94
mp-772400,Li8 W4 O8 F16,36,-206.511,-5.7364,117.17,47.53,125.61,0.3213,2.47,Ductile,1.49
mp-772406,Li12 Fe12 P12 O48,84,-569.4378,-6.779,126.84,71.57,180.71,0.2625,1.77,Ductile,3.84
mp-772411,Na8 Li4 Mn4 P4 C4 O28,52,-349.4362,-6.7199,116.64,60.48,154.71,0.2789,1.93,Ductile,1.78
mp-772414,Na8 Li4 Mn4 P4 C4 O28,52,-349.4726,-6.7206,112.61,58.25,149.04,0.2794,1.93,Ductile,1.91
mp-772436,Li16 Al8 Fe8 O32,64,-403.7455,-6.3085,108.16,52.63,135.86,0.2906,2.05,Ductile,2.49
mp-772444,Na2 Li10 Mn4 P4 C4 O28,52,-354.2856,-6.8132,119.46,61.63,157.75,0.2799,1.94,Ductile,2.95
mp-772484,Na6 Li6 Mn4 P4 C4 O28,52,-351.1198,-6.7523,120.61,62.32,159.48,0.2796,1.94,Ductile,3.53
mp-772498,Na6 Li6 Mn4 P4 C4 O28,52,-351.2207,-6.7542,109.72,57.84,147.58,0.2758,1.9,Ductile,2.32
mp-772499,Na8 Li4 Mn4 P4 C4 O28,52,-349.4836,-6.7208,115.33,60.19,153.8,0.2777,1.92,Ductile,2.01
mp-772500,Na8 Li4 Mn4 P4 C4 O28,52,-349.4836,-6.7208,109.5,57.23,146.21,0.2775,1.91,Ductile,2.85
mp-772501,Na8 Li4 Mn4 P4 C4 O28,52,-349.4692,-6.7206,112.29,58.43,149.38,0.2783,1.92,Ductile,2.59
mp-772507,Na6 Li6 Mn4 P4 C4 O28,52,-351.207,-6.754,112.98,58.54,149.75,0.2791,1.93,Ductile,1.97
mp-772515,Na2 Li10 Mn4 P4 C4 O28,52,-354.148,-6.8105,120.41,60.52,155.5,0.2848,1.99,Ductile,2.28
mp-772518,Na10 Li2 Mn4 P4 C4 O28,52,-347.8679,-6.6898,114.92,58.64,150.35,0.2819,1.96,Ductile,2.73
mp-772519,Na4 Li8 Mn4 P4 C4 O28,52,-352.5143,-6.7791,120.32,59.78,153.87,0.2869,2.01,Ductile,2.5
mp-772521,Li16 Ti2 O12,30,-170.5882,-5.6863,106.8,60.05,151.72,0.2632,1.78,Ductile,1.62
mp-772539,Li16 Fe8 P16 O56,96,-646.6104,-6.7355,123.83,74.17,185.48,0.2504,1.67,Brittle,10.05
mp-772544,Na8 Li4 Fe4 P4 C4 O28,52,-339.7412,-6.5335,119.64,61.26,157.0,0.2813,1.95,Ductile,3.55
mp-772546,Na10 Li2 Mn4 P4 C4 O28,52,-347.7714,-6.6879,108.7,55.93,143.22,0.2804,1.94,Ductile,3.24
mp-772547,Na10 Li2 Mn4 P4 C4 O28,52,-347.7602,-6.6877,107.5,56.16,143.49,0.2775,1.91,Ductile,2.73
mp-772555,Na8 Li4 Mn4 P4 C4 O28,52,-349.4497,-6.7202,109.44,57.12,145.96,0.2777,1.92,Ductile,2.21
mp-772558,Na4 Li8 Mn4 P4 C4 O28,52,-352.6656,-6.782,117.59,60.05,153.94,0.2818,1.96,Ductile,3.74
mp-772559,Na2 Li10 Mn4 P4 C4 O28,52,-354.2066,-6.8117,118.78,59.53,153.03,0.2853,2.0,Ductile,3.09
mp-772567,Na8 Li4 Mn4 P4 C4 O28,52,-349.444,-6.7201,111.35,57.68,147.57,0.2791,1.93,Ductile,2.2
mp-772589,Li4 Fe2 Si8 O20,34,-246.7287,-7.2567,138.52,81.96,205.37,0.2529,1.69,Brittle,1.01
mp-772618,Na4 Li8 Mn4 P4 C4 O28,52,-352.6626,-6.782,119.52,60.64,155.6,0.283,1.97,Ductile,2.16
mp-772626,Li4 Mn4 P4 O16,28,-199.1136,-7.1112,128.39,53.19,140.21,0.318,2.41,Ductile,1.2
mp-772634,Na4 Li8 Mn4 P4 C4 O28,52,-352.5212,-6.7793,118.49,60.33,154.73,0.2824,1.96,Ductile,2.88
mp-772637,Na6 Li6 Mn4 P4 C4 O28,52,-351.0254,-6.7505,115.63,60.66,154.89,0.2767,1.91,Ductile,3.72
mp-772639,Na10 Li2 Mn4 P4 C4 O28,52,-347.8294,-6.689,111.68,58.73,149.92,0.2763,1.9,Ductile,3.09
mp-772651,Na4 Li8 Mn4 P4 C4 O28,52,-352.6129,-6.781,120.19,60.74,155.95,0.2837,1.98,Ductile,2.33
mp-772652,Na2 Li10 Mn4 P4 C4 O28,52,-354.3928,-6.8152,117.9,60.9,155.86,0.2797,1.94,Ductile,1.29
mp-772673,Li4 Ni4 P4 O16,28,-173.9795,-6.2136,116.8,63.18,160.59,0.2708,1.85,Ductile,0.55
mp-772717,Na4 Li8 Fe4 P4 C4 O28,52,-343.1264,-6.5986,123.15,63.07,161.61,0.2813,1.95,Ductile,3.28
mp-772718,Na4 Li8 Fe4 P4 C4 O28,52,-342.9461,-6.5951,121.59,61.56,158.02,0.2834,1.98,Ductile,2.47
mp-772727,Na2 Li10 Mn4 P4 C4 O28,52,-354.3526,-6.8145,119.2,60.24,154.66,0.2838,1.98,Ductile,1.43
mp-772750,Li6 Mg2 P2 C2 O14,26,-170.9682,-6.5757,130.77,78.81,196.88,0.2491,1.66,Brittle,3.32
mp-772753,Li6 Zn2 P2 C2 O14,26,-164.5921,-6.3305,125.82,72.45,182.34,0.2585,1.74,Brittle,1.92
mp-772783,Li4 Mg6 Ti12 O32,54,-426.1774,-7.8922,163.45,69.42,182.42,0.314,2.35,Ductile,1.38
mp-772906,Li12 Fe12 P12 O48,84,-569.3328,-6.7778,131.06,63.24,163.43,0.2922,2.07,Ductile,1.76
mp-772925,Li8 Ti10 O24,42,-329.6996,-7.85,161.19,64.42,170.54,0.3237,2.5,Ductile,1.66
mp-772927,Na4 Li8 Fe4 P4 C4 O28,52,-343.1182,-6.5984,116.09,60.52,154.68,0.2779,1.92,Ductile,2.52
mp-772930,Na8 Li4 Fe4 P4 C4 O28,52,-339.7694,-6.534,118.07,61.0,156.11,0.2796,1.94,Ductile,2.3
mp-772938,Li4 Ta8 O22,34,-304.2611,-8.9489,199.02,87.79,229.62,0.3077,2.27,Ductile,2.01
mp-772972,Li8 Ti8 O20,36,-275.4765,-7.6521,114.94,46.5,122.92,0.3218,2.47,Ductile,1.3
mp-773068,Li2 Zr4 P6 O24,36,-286.2586,-7.9516,149.16,85.75,215.88,0.2588,1.74,Brittle,1.13
mp-773074,Li2 Zr4 P6 O24,36,-286.4025,-7.9556,155.83,86.73,219.47,0.2653,1.8,Ductile,13.57
mp-773122,Na8 Li4 Fe4 P4 C4 O28,52,-339.8033,-6.5347,111.77,57.99,148.31,0.2788,1.93,Ductile,1.66
mp-773176,Li8 Cr4 As4 C4 O28,48,-319.963,-6.6659,107.66,51.06,132.26,0.2952,2.11,Ductile,1.89
mp-773519,Li4 Mn3 Fe1 P4 O16,28,-198.2213,-7.0793,138.72,72.47,185.16,0.2775,1.91,Ductile,1.31
mp-773725,Na2 Li10 Mn4 P4 C4 O28,52,-354.1445,-6.8105,121.57,60.21,155.03,0.2875,2.02,Ductile,2.21
mp-773801,Na2 Li10 Fe4 P4 C4 O28,52,-344.7172,-6.6292,123.84,61.72,158.79,0.2863,2.01,Ductile,2.58
mp-774042,Li8 Mn5 Fe3 B8 O24,48,-343.8277,-7.1631,95.32,50.87,129.56,0.2735,1.87,Ductile,1.78
mp-774173,Li8 Mn1 Fe7 B8 O24,48,-334.2794,-6.9642,96.8,51.7,131.66,0.2733,1.87,Ductile,1.12
mp-774189,Li8 Mn7 Fe1 B8 O24,48,-348.4128,-7.2586,89.81,50.94,128.52,0.2615,1.76,Ductile,0.83
mp-774236,Li12 Cr4 Si4 C4 O28,52,-360.3187,-6.9292,131.75,66.13,169.96,0.285,1.99,Ductile,1.89
mp-774240,Na3 Li3 Mn2 P2 C2 O14,26,-175.5452,-6.7517,115.9,60.36,154.29,0.2781,1.92,Ductile,1.55
mp-774242,Li2 Ta2 W2 O12,18,-143.1023,-7.9501,159.43,63.01,167.02,0.3254,2.53,Ductile,0.64
mp-774251,Li4 Fe4 P4 O16,28,-189.9305,-6.7832,124.14,60.85,156.91,0.2893,2.04,Ductile,1.4
mp-774299,Li8 Mn5 Fe3 B8 O24,48,-343.858,-7.1637,93.07,50.76,128.85,0.2693,1.83,Ductile,1.12
mp-774334,Na5 Li3 V8 O24,40,-268.7176,-6.7179,113.75,39.83,107.0,0.3432,2.86,Ductile,0.76
mp-774354,Li4 Mn8 F20,32,-191.6618,-5.9894,54.53,19.47,52.19,0.3405,2.8,Ductile,0.5
mp-774361,Li8 Mn12 F32,52,-306.7803,-5.8996,63.48,21.57,58.13,0.3474,2.94,Ductile,1.02
mp-774365,Li4 Mn8 F20,32,-191.4868,-5.984,64.92,21.81,58.84,0.349,2.98,Ductile,0.72
mp-774367,Li8 Cr4 P16 O48,76,-534.0501,-7.027,123.44,77.98,193.24,0.2391,1.58,Brittle,4.53
mp-774371,Li4 Mn3 F10,17,-95.3897,-5.6112,62.43,25.24,66.73,0.3218,2.47,Ductile,0.5
mp-774373,Li6 Mn2 Fe4 B6 O18,36,-253.4998,-7.0417,134.15,54.71,144.49,0.3205,2.45,Ductile,1.03
mp-774377,Li8 Mn6 Fe2 B8 O24,48,-346.1642,-7.2118,102.99,52.75,135.17,0.2813,1.95,Ductile,1.26
mp-774382,Li16 Mn8 F32,56,-305.675,-5.4585,58.95,24.44,64.42,0.3179,2.41,Ductile,0.84
mp-774399,Li10 Mn10 F30,50,-286.1959,-5.7239,60.33,22.13,59.17,0.3365,2.73,Ductile,0.99
mp-774412,Li4 Cr4 P12 O36,56,-399.7796,-7.1389,105.73,66.32,164.56,0.2406,1.59,Brittle,3.42
mp-774430,Li4 Mn2 F8,14,-76.6045,-5.4717,68.92,29.66,77.83,0.3118,2.32,Ductile,0.47
mp-774437,Li20 La12 Nb8 O48,88,-657.0739,-7.4667,154.32,57.23,152.81,0.335,2.7,Ductile,6.96
mp-774482,K4 Li4 Ti8 P8 O40,64,-482.2315,-7.5349,128.14,75.37,189.05,0.2541,1.7,Brittle,1.08
mp-774598,Li12 Mn6 Si12 O36,66,-470.6186,-7.1306,117.46,67.62,170.21,0.2585,1.74,Brittle,2.11
mp-774609,Na5 Li3 Ti5 O14,27,-189.919,-7.034,134.61,64.11,165.99,0.2945,2.1,Ductile,1.05
mp-774639,Li8 Mn4 Si4 O16,32,-220.4042,-6.8876,117.89,60.8,155.64,0.28,1.94,Ductile,0.6
mp-774714,Li6 Sb2 P4 O16,28,-180.0176,-6.4292,131.01,68.08,174.08,0.2785,1.92,Ductile,1.92
mp-774721,Li20 La12 Nb8 O48,88,-657.5064,-7.4717,138.94,54.67,144.99,0.3261,2.54,Ductile,6.7
mp-774742,Li12 Sc8 P12 O48,80,-592.5284,-7.4066,145.53,86.67,216.95,0.2515,1.68,Brittle,1.56
mp-774749,Rb1 Na3 Li12 Ti4 O16,36,-222.269,-6.1741,109.59,52.28,135.32,0.2942,2.1,Ductile,0.65
mp-774752,Li8 Mg4 Ti12 O32,56,-433.4615,-7.7404,160.4,67.12,176.71,0.3164,2.39,Ductile,0.65
mp-774753,Li40 Ga8 O32,80,-412.1914,-5.1524,87.85,54.1,134.65,0.2445,1.62,Brittle,1.36
mp-774794,Li20 Sm12 Sb8 O48,88,-575.7229,-6.5423,139.55,70.77,181.62,0.2831,1.97,Ductile,5.03
mp-774797,Li8 Ti12 Zn4 O32,56,-421.101,-7.5197,163.04,64.89,171.87,0.3243,2.51,Ductile,0.68
mp-774821,Li4 Ni4 P4 O16,28,-173.4189,-6.1935,120.05,54.66,142.38,0.3023,2.2,Ductile,1.38
mp-774866,Li6 Fe4 F18,28,-141.392,-5.0497,78.62,31.08,82.38,0.3254,2.53,Ductile,1.75
mp-774895,Li8 Mg8 W12 O48,76,-518.8258,-6.8267,150.57,54.9,146.85,0.3374,2.74,Ductile,1.37
mp-774938,Na14 Li6 V20 O60,100,-670.8083,-6.7081,120.98,39.75,107.49,0.3519,3.04,Ductile,3.37
mp-774964,Li8 Cr4 P12 O40,64,-449.0502,-7.0164,116.06,72.33,179.66,0.242,1.6,Brittle,11.01
mp-775189,Li12 Mn6 Fe6 P12 O48,84,-587.3578,-6.9924,138.58,72.89,186.04,0.2763,1.9,Ductile,1.08
mp-775195,Li12 Mn11 Fe1 P12 O48,84,-599.4353,-7.1361,128.39,70.72,179.26,0.2673,1.82,Ductile,2.1
mp-775239,Li8 Mn6 Fe2 B8 O24,48,-346.0769,-7.2099,91.15,47.81,122.08,0.2768,1.91,Ductile,1.49
mp-775252,Li8 Mn3 Fe5 B8 O24,48,-339.1676,-7.066,99.88,52.79,134.65,0.2753,1.89,Ductile,1.6
mp-775257,Li8 Mn3 Fe5 B8 O24,48,-339.155,-7.0657,105.25,50.54,130.7,0.293,2.08,Ductile,1.45
